ID_Uzorka,GPS_LAT,GPS_LONG,Dubina_Busenja_cm,Temp_Tla_C,pH_Vrijednost,H2O_Postotak,Metan_Senzor,Organske_Molekule
62,18.486382,77.376813,13.0,-35.2,6.56,2.18,Negativno,Ne
63,18.472419,77.396093,9.6,-39.0,6.94,1.14,Pozitivno,Ne
64,18.49109,77.409557,0.5,-42.1,7.6,1.89,Negativno,Ne
65,18.463248,77.372503,13.7,-77.0,7.07,5.7,Negativno,Ne
66,18.493946,77.390742,14.4,-49.8,7.06,0.99,Negativno,Ne
67,18.479966,77.393612,14.8,-31.3,7.18,4.2,Negativno,Ne
68,18.481105,77.389264,7.7,-64.5,5.85,4.76,Negativno,Ne
69,18.477489,77.382726,13.0,-40.2,6.32,5.6,Negativno,Ne
70,18.477825,77.391878,0.5,-61.4,7.3,2.32,Negativno,Ne
71,18.486983,77.403322,7.1,-36.2,7.55,4.68,Negativno,Ne
72,18.471467,77.388832,10.1,-46.3,6.65,5.15,Negativno,Ne
73,18.481816,77.387728,10.0,-52.7,7.37,3.29,Negativno,Ne
74,18.463573,77.374395,14.3,-63.9,7.0,5.61,Negativno,Ne
75,18.491832,77.387251,14.1,-44.7,6.69,3.25,Negativno,Ne
76,18.487017,77.38834,5.5,-87.0,6.41,2.07,Negativno,Ne
77,18.478638,77.394783,10.2,-10.8,7.3,3.65,Negativno,Ne
78,18.485171,77.394605,14.7,-50.1,6.93,3.88,Negativno,Ne
80,18.477464,77.389009,7.9,-28.8,7.11,1.63,Pozitivno,Ne
81,18.473089,77.382201,0.8,-55.3,6.36,1.1,Negativno,Ne
82,18.479421,77.395979,5.1,-47.4,6.94,1.71,Negativno,Ne
83,18.469319,77.399437,14.2,-18.8,6.91,1.78,Negativno,Ne
84,18.47623,77.390148,8.7,-15.4,6.95,4.425562950542293,Pozitivno,Da
85,18.478815,77.380318,8.4,-60.1,6.57,0.23,Negativno,Da
86,18.476809,77.38123,3.4,-41.8,6.49,3.47,Negativno,Ne
87,18.476875,77.388318,7.8,-65.6,6.71,1.2,Negativno,Ne
88,18.482417,77.375215,4.5,-35.4,6.78,2.57,Negativno,Ne
89,18.473763,77.386775,8.8,-55.4,7.39,0.69,Negativno,Ne
90,18.479969,77.403539,10.4,-38.8,7.05,4.61,Negativno,Ne
91,18.478925,77.378998,0.9,-49.5,6.39,4.29,Negativno,Ne
92,18.458557,77.397502,10.7,-41.9,6.62,1.22,Negativno,Ne
93,18.476927,77.384931,10.3,-44.0,6.78,1.82,Pozitivno,Ne
94,18.480171,77.372085,7.1,-78.7,6.65,4.14,Negativno,Ne
95,18.480429,77.395689,3.7,-44.5,6.47,1.06,Negativno,Ne
96,18.478031,77.393504,10.1,-24.9,6.44,2.21,Negativno,Ne
97,18.477705,77.365948,13.0,-38.3,7.23,0.88,Negativno,Ne
98,18.484301,77.38334,9.3,-64.0,7.81,1.02,Negativno,Ne
99,18.475071,77.375748,7.1,-56.4,6.7,3.71,Negativno,Ne
100,18.481295,77.371114,9.0,-26.1,7.19,3.29,Negativno,Ne
101,18.497625,77.393701,1.9,-55.3,7.35,1.74,Negativno,Da
102,18.472141,77.393982,12.8,-49.4,7.11,5.63,Negativno,Da
103,18.475235,77.376397,1.4,-36.3,8.16,5.22,Negativno,Ne
104,18.463419,77.382136,2.3,-26.4,7.37,4.79,Negativno,Ne
105,18.470565,77.398015,6.8,-39.5,6.19,1.26,Negativno,Da
106,18.476582,77.396692,9.4,-31.6,6.89,4.97,Negativno,Ne
107,18.476052,77.395674,10.8,-41.1,6.27,5.28,Negativno,Ne
108,18.47924,77.392475,4.9,-57.2,6.99,3.77,Negativno,Ne
109,18.477759,77.398277,1.2,-57.0,7.79,5.6,Pozitivno,Ne
110,18.498877,77.386991,12.3,-89.8,7.21,2.07,Negativno,Ne
111,18.484492,77.402598,13.5,-88.7,6.47,4.58,Negativno,Ne
112,18.481171,77.403112,9.5,-56.2,6.69,5.26,Negativno,Ne
113,18.471231,77.388689,7.3,-41.0,6.56,1.53,Negativno,Ne
114,18.47178,77.391518,7.2,-58.4,6.33,3.67,Negativno,Ne
115,18.471625,77.393523,8.8,-32.9,7.3,3.33,Negativno,Ne
116,18.471644,77.393824,13.5,-37.1,7.68,1.78,Negativno,Ne
117,18.476865,77.378626,9.8,-40.7,7.53,3.63,Negativno,Ne
118,18.489638,77.381558,11.1,-66.3,6.5,0.72,Negativno,Ne
119,18.478608,77.391267,7.6,-64.7,7.07,1.95,Negativno,Ne
120,18.467151,77.380653,10.7,-68.2,6.7,0.84,Negativno,Ne
121,18.47018,77.386341,13.8,-74.6,6.71,0.57,Negativno,Ne
122,18.474154,77.393675,10.8,-66.2,7.06,5.65,Negativno,Ne
123,18.492259,77.389571,11.8,-41.9,6.34,1.65,Negativno,Ne
124,18.466234,77.406042,8.9,-44.0,7.09,2.44,Negativno,Da
125,18.4784,77.392825,9.5,-60.5,7.48,2.18,Negativno,Ne
126,18.503626,77.398968,10.6,-43.7,7.88,0.48,Negativno,Ne
127,18.48932,77.37494,1.6,-36.2,7.45,5.67,Pozitivno,Ne
128,18.489074,77.390662,1.0,-40.7,6.49,5.22,Negativno,Ne
129,18.479548,77.384769,14.5,-44.2,7.45,3.36,Negativno,Ne
130,18.482701,77.387145,6.2,-61.1,6.5,2.29,Negativno,Ne
131,18.47335,77.394324,0.7,-62.0,7.42,3.22,Negativno,Ne
132,18.486482,77.390805,0.1,-54.3,6.86,1.95,Negativno,Ne
133,18.483849,77.397526,11.9,-63.9,6.75,4.6,Negativno,Ne
134,18.470125,77.381885,8.9,-42.3,6.86,5.29,Negativno,Ne
135,18.478702,77.395578,3.5,-52.6,6.4,2.28,Negativno,Ne
136,18.475242,77.398179,3.2,-23.0,7.16,2.04,Negativno,Da
137,18.490862,77.371888,12.4,-30.5,6.58,4.3,Negativno,Ne
138,18.497013,77.389259,3.2,-28.0,6.27,1.37,Negativno,Ne
139,18.471931,77.391053,14.1,-37.2,6.48,3.18,Negativno,Ne
140,18.467688,77.375926,4.6,-65.3,8.2,1.27,Negativno,Ne
141,18.476595,77.38918,6.0,-39.0,7.56,4.77,Negativno,Ne
142,18.476741,77.39322,3.5,-56.7,8.25,4.06,Negativno,Ne
143,18.477626,77.396345,6.7,-35.4,6.95,0.32,Pozitivno,Ne
144,18.474176,77.414867,1.8,-57.2,8.16,5.4,Negativno,Ne
145,18.479356,77.380677,6.4,-69.0,7.55,1.99,Negativno,Ne
146,18.500245,77.398459,2.9,-39.2,6.64,1.93,Negativno,Ne
147,18.490842,77.378599,1.7,-48.6,7.18,5.4,Negativno,Ne
148,18.47119,77.384263,4.7,-60.4,7.19,5.22,Negativno,Ne
149,18.493296,77.386754,11.9,-43.4,7.21,3.33,Negativno,Ne
150,18.474434,77.378205,1.0,-35.9,6.44,0.36,Negativno,Ne
151,18.484957,77.395753,8.8,-61.3,6.28,0.92,Negativno,Ne
152,18.48786,77.40272,6.0,-24.6,6.52,1.34,Pozitivno,Ne
153,18.470267,77.387689,14.3,-47.4,7.3,0.45,Negativno,Ne
154,18.497584,77.39466,6.0,-38.0,7.29,5.14,Negativno,Ne
155,18.488711,77.396508,4.8,-66.6,7.39,5.47,Negativno,Ne
156,18.48555,77.39435,6.4,-56.7,6.97,0.27,Negativno,Ne
157,18.467772,77.375827,6.7,-53.3,7.19,1.36,Pozitivno,Ne
158,18.489064,77.411615,14.1,-55.9,6.46,4.41,Negativno,Ne
159,18.482722,77.394728,1.5,-71.6,6.85,5.28,Negativno,Ne
160,18.493922,77.386333,10.2,-28.5,7.62,0.16,Negativno,Ne
161,18.495119,77.383047,0.9,-21.8,7.09,4.73,Negativno,Ne
162,18.472974,77.380385,8.2,-44.4,7.9,4.61,Negativno,Ne
163,18.494166,77.373054,1.4,-66.4,7.87,5.6,Negativno,Ne
164,18.47551,77.397266,6.6,-42.3,7.68,5.84,Negativno,Ne
165,18.491705,77.386843,10.3,-54.5,6.63,2.25,Negativno,Ne
166,18.467027,77.391103,10.5,-51.9,6.76,3.0,Negativno,Ne
167,18.487651,77.39159,7.6,-67.9,8.33,2.79,Negativno,Ne
168,18.481535,77.384836,10.4,-65.2,6.75,4.51,Negativno,Ne
169,18.481678,77.411152,6.3,-74.0,7.3,0.53,Negativno,Ne
170,18.494399,77.374027,5.2,-59.9,6.22,0.85,Negativno,Ne
171,18.483066,77.385461,6.6,-69.9,6.43,4.19,Negativno,Ne
172,18.479247,77.391549,1.6,-41.9,7.23,5.25,Negativno,Ne
173,18.498745,77.386106,0.7,-41.2,7.55,2.44,Negativno,Ne
174,18.47556,77.386897,1.7,-46.6,7.14,4.28,Negativno,Ne
175,18.47266,77.375445,3.2,-41.8,7.67,4.61,Negativno,Ne
176,18.493688,77.39174,2.2,-39.3,7.93,0.48,Negativno,Ne
177,18.465633,77.403052,2.2,-43.9,6.94,5.81,Negativno,Ne
178,18.470905,77.371191,12.6,-44.1,6.71,1.93,Negativno,Ne
179,18.471331,77.38001,4.8,-44.1,6.77,2.49,Negativno,Ne
180,18.488602,77.392184,1.4,-84.4,7.38,0.1,Negativno,Ne
181,18.463707,77.396785,1.5,-49.6,8.09,3.66,Negativno,Ne
182,18.483757,77.383707,3.6,-50.7,6.57,3.25,Pozitivno,Ne
183,18.480352,77.392468,7.5,-56.4,6.61,1.35,Negativno,Ne
184,18.48609,77.390708,0.8,-25.2,7.49,1.88,Negativno,Ne
185,18.476357,77.391424,1.9,-9.6,6.46,8.825562950542293,Pozitivno,Da
186,18.462231,77.375294,11.5,-58.3,6.1,1.86,Negativno,Ne
187,18.492304,77.383932,3.9,-64.0,7.48,1.9,Negativno,Ne
188,18.486606,77.378509,8.7,-49.7,6.75,3.95,Negativno,Da
189,18.476975,77.366905,14.5,-56.3,7.14,3.36,Negativno,Ne
190,18.520288,77.383041,9.0,-57.6,6.82,4.19,Negativno,Ne
191,18.477837,77.400049,4.0,-8.6,7.59,4.92,Negativno,Ne
192,18.488657,77.401425,9.7,-53.7,6.53,2.92,Negativno,Ne
193,18.474951,77.377951,1.3,-48.7,6.69,1.67,Negativno,Ne
194,18.488906,77.388231,6.0,-65.4,6.84,2.7,Negativno,Ne
195,18.480805,77.40386,2.1,-53.9,6.77,3.72,Negativno,Da
196,18.455853,77.410541,12.1,-63.5,7.72,5.34,Negativno,Ne
197,18.474511,77.375554,0.4,-49.7,6.23,3.53,Negativno,Ne
198,18.488657,77.395412,9.0,-51.4,7.45,4.74,Negativno,Ne
199,18.488412,77.39603,5.4,-19.8,8.14,5.54,Negativno,Ne
200,18.484628,77.404603,6.1,-34.4,7.61,5.97,Pozitivno,Ne
201,18.491419,77.376641,2.0,-53.9,7.37,1.88,Negativno,Ne
202,18.471504,77.388711,6.0,-43.8,7.13,3.54,Negativno,Ne
203,18.479738,77.378469,14.6,-26.6,7.11,5.65,Negativno,Ne
204,18.475562,77.390662,6.1,-16.2,6.1,5.375562950542293,Pozitivno,Da
205,18.489209,77.395456,13.9,-50.7,6.69,2.7,Negativno,Ne
206,18.481595,77.392565,12.9,-54.0,7.24,5.99,Negativno,Ne
207,18.485803,77.399532,13.1,-47.2,6.68,2.78,Pozitivno,Ne
208,18.469479,77.383404,5.5,-55.5,7.04,5.78,Negativno,Ne
209,18.482921,77.399422,7.2,-24.6,7.33,5.48,Negativno,Ne
210,18.48447,77.380078,14.0,-47.8,6.45,5.73,Negativno,Ne
211,18.481622,77.383824,11.8,-81.6,7.93,2.33,Negativno,Ne
212,18.491528,77.378517,13.7,-42.3,6.39,2.51,Pozitivno,Ne
213,18.488773,77.393775,9.1,-62.3,6.68,3.16,Negativno,Ne
214,18.474624,77.41228,13.0,-57.3,6.93,1.5,Negativno,Ne
215,18.477714,77.383301,13.8,-73.3,7.1,5.75,Pozitivno,Ne
216,18.468801,77.373916,11.8,-38.7,7.04,5.6,Negativno,Ne
217,18.472371,77.38699,13.1,-31.1,7.2,1.41,Negativno,Ne
218,18.47507,77.398093,4.1,-29.4,6.55,1.04,Negativno,Ne
219,18.482735,77.387757,10.6,-61.1,6.87,1.69,Negativno,Ne
220,18.475686,77.40057,14.4,-55.3,7.61,5.47,Negativno,Ne
221,18.488985,77.391817,3.8,-51.2,6.65,4.55,Pozitivno,Ne
222,18.489937,77.389981,7.9,-52.3,7.09,0.43,Negativno,Ne
223,18.471536,77.381165,13.7,-61.2,7.19,2.52,Negativno,Ne
224,18.46631,77.390122,4.4,-53.0,7.36,1.98,Negativno,Ne
225,18.492941,77.384499,10.0,-52.0,7.62,2.02,Pozitivno,Ne
226,18.500782,77.376755,2.7,-62.4,6.66,3.47,Negativno,Ne
227,18.481704,77.405774,2.6,-70.7,6.33,0.44,Negativno,Ne
228,18.466671,77.387073,9.9,-40.1,7.15,1.66,Negativno,Ne
229,18.466992,77.404343,0.2,-78.2,6.84,3.96,Negativno,Da
230,18.477947,77.393459,6.2,-57.9,5.81,2.0,Negativno,Ne
231,18.497402,77.385565,12.9,-60.4,7.06,2.95,Negativno,Ne
232,18.47684,77.389854,9.0,-15.4,6.42,7.745562950542293,Pozitivno,Da
233,18.48468,77.390189,14.2,-51.8,6.63,5.21,Negativno,Ne
234,18.482851,77.382097,2.8,-27.0,7.45,5.55,Negativno,Ne
235,18.495128,77.399203,0.8,-65.9,6.39,4.4,Negativno,Ne
236,18.476669,77.390295,4.9,-18.3,6.53,9.635562950542294,Pozitivno,Da
237,18.488684,77.379583,3.7,-71.2,6.95,5.76,Negativno,Ne
238,18.483257,77.398777,3.9,-53.8,6.55,2.93,Negativno,Ne
239,18.488532,77.395327,5.7,-65.3,7.22,0.18,Negativno,Ne
240,18.484707,77.405409,4.5,-72.7,6.87,5.97,Negativno,Ne
241,18.470584,77.40107,7.9,-49.0,6.86,5.59,Negativno,Ne
242,18.49864,77.379289,0.6,-60.9,7.08,3.78,Negativno,Ne
243,18.482299,77.375678,5.1,-55.8,7.9,5.47,Negativno,Ne
244,18.464706,77.3766,12.4,-58.8,6.9,5.54,Negativno,Ne
245,18.478425,77.383708,4.4,-52.4,7.02,5.64,Negativno,Ne
246,18.471052,77.400471,6.4,-36.5,7.66,5.27,Pozitivno,Ne
247,18.47722,77.376406,14.4,-57.0,7.28,5.41,Negativno,Ne
248,18.494217,77.395432,5.2,-38.6,7.27,1.23,Negativno,Ne
249,18.481649,77.390582,5.3,-68.2,7.2,2.01,Negativno,Ne
250,18.465797,77.386987,0.9,-71.7,7.86,3.14,Negativno,Ne
251,18.484638,77.37882,11.3,-68.9,7.5,5.02,Negativno,Ne
252,18.484392,77.384433,6.8,-37.9,6.6,4.02,Negativno,Ne
253,18.478789,77.394945,14.6,-46.9,7.82,1.46,Negativno,Ne
254,18.481718,77.390527,3.2,-41.0,7.42,1.37,Negativno,Ne
255,18.478089,77.39728,11.0,-30.7,7.92,0.57,Negativno,Ne
256,18.490751,77.385023,3.4,-53.7,6.72,2.92,Negativno,Ne
257,18.488387,77.392455,5.2,-57.4,6.69,5.98,Negativno,Ne
258,18.484155,77.371169,0.7,-65.8,7.18,1.76,Negativno,Ne
259,18.495285,77.399142,13.4,-51.3,7.2,3.39,Negativno,Ne
260,18.471272,77.394696,11.4,-26.6,6.35,1.26,Pozitivno,Ne
261,18.466076,77.385954,9.2,-56.8,8.08,0.27,Pozitivno,Da
262,18.472771,77.405203,13.2,-41.3,6.53,5.99,Negativno,Da
263,18.470921,77.395242,2.3,-37.6,6.34,4.24,Negativno,Ne
264,18.485224,77.385816,6.6,-48.2,7.8,4.19,Negativno,Ne
265,18.499902,77.384184,10.3,-65.0,7.55,0.71,Pozitivno,Ne
266,18.503755,77.387191,7.7,-54.5,6.17,1.4,Negativno,Ne
267,18.477514,77.403446,3.9,-20.7,6.67,2.88,Negativno,Ne
268,18.474746,77.393074,4.1,-56.2,7.16,4.12,Negativno,Ne
269,18.487733,77.395489,2.3,-37.9,6.56,3.05,Pozitivno,Ne
270,18.496662,77.393383,12.1,-57.1,6.77,4.17,Pozitivno,Ne
271,18.480169,77.397941,6.0,-50.0,6.47,4.07,Negativno,Ne
272,18.480677,77.385061,8.0,-59.1,6.3,4.47,Negativno,Ne
273,18.485102,77.382489,5.7,-50.8,6.93,3.49,Negativno,Ne
274,18.476152,77.390105,8.4,-8.9,6.34,6.125562950542293,Pozitivno,Da
275,18.482963,77.397247,12.9,-60.5,8.61,4.16,Negativno,Ne
276,18.465638,77.385082,13.4,-68.2,6.83,5.46,Negativno,Ne
277,18.478202,77.401061,0.5,-63.1,6.68,2.68,Negativno,Da
278,18.47936,77.389418,0.2,-42.9,6.07,1.53,Negativno,Ne
279,18.484895,77.380783,14.3,-69.3,6.51,2.1,Negativno,Ne
280,18.473767,77.373717,10.1,-39.0,7.08,1.72,Negativno,Ne
281,18.482416,77.399655,9.2,-68.5,7.17,0.36,Negativno,Ne
282,18.479937,77.396121,1.1,-56.2,6.23,0.24,Negativno,Ne
283,18.481128,77.399074,4.0,-23.1,6.52,1.86,Negativno,Ne
284,18.488837,77.388377,5.0,-48.4,6.47,3.41,Negativno,Ne
285,18.50297,77.386137,7.9,-58.9,7.02,3.04,Pozitivno,Ne
286,18.470265,77.383038,6.2,-55.5,7.22,5.73,Negativno,Ne
287,18.486848,77.391797,5.6,-31.6,6.14,1.28,Negativno,Ne
288,18.482488,77.394661,8.1,-53.2,6.98,3.38,Negativno,Ne
289,18.495653,77.402461,3.7,-53.7,7.37,4.43,Negativno,Ne
290,18.460184,77.406022,11.1,-63.0,7.05,2.56,Negativno,Ne
291,18.485301,77.385325,7.0,-52.1,6.82,4.25,Negativno,Ne
292,18.501993,77.40072,9.3,-7.8,7.16,5.57,Negativno,Ne
293,18.484263,77.398701,4.7,-32.4,7.57,4.43,Negativno,Ne
294,18.480359,77.397177,10.4,-29.7,6.33,3.06,Negativno,Ne
295,18.480427,77.409534,3.7,-70.1,7.04,2.43,Negativno,Ne
296,18.475316,77.386831,0.6,-67.9,6.71,4.69,Negativno,Ne
297,18.478032,77.367961,1.8,-50.9,7.35,4.57,Negativno,Ne
298,18.471732,77.393733,6.9,-56.1,7.57,0.52,Pozitivno,Ne
299,18.490108,77.387525,0.5,-52.0,6.81,4.98,Negativno,Ne
300,18.480949,77.3757,0.8,-65.6,7.11,4.47,Negativno,Ne
301,18.466241,77.393319,9.7,-45.2,6.73,4.92,Negativno,Ne
302,18.481429,77.388041,10.0,-58.2,5.85,2.06,Negativno,Ne
303,18.47565,77.386215,11.5,-28.4,5.95,4.35,Negativno,Ne
304,18.489154,77.373845,9.2,-72.1,6.42,0.97,Negativno,Ne
305,18.473287,77.394875,0.3,-62.2,7.02,4.25,Negativno,Ne
306,18.484115,77.375088,2.5,-23.1,7.05,5.17,Negativno,Ne
307,18.487939,77.383326,12.9,-13.5,7.24,4.360616188900903,Pozitivno,Da
308,18.479513,77.382909,8.0,-84.8,7.14,1.26,Negativno,Ne
309,18.490361,77.37941,10.9,-35.5,7.55,3.64,Negativno,Ne
310,18.476371,77.377143,11.8,-64.9,7.18,4.1,Negativno,Ne
311,18.483977,77.374747,10.4,-50.1,6.38,5.49,Negativno,Ne
312,18.469557,77.381801,5.1,-52.9,7.11,4.88,Negativno,Ne
313,18.468213,77.39263,5.9,-69.2,6.65,4.58,Negativno,Ne
314,18.471847,77.392403,10.1,-49.0,7.3,5.7,Pozitivno,Ne
315,18.475972,77.389817,1.8,-9.8,6.37,4.305562950542293,Pozitivno,Da
316,18.48937,77.412789,2.6,-49.3,7.21,0.2,Negativno,Ne
317,18.466624,77.38052,9.9,-30.0,7.24,3.52,Negativno,Ne
318,18.483843,77.394221,2.5,-40.2,7.04,5.24,Negativno,Ne
319,18.463884,77.394018,0.4,-62.2,7.74,1.18,Negativno,Ne
320,18.483076,77.378615,7.8,-39.8,6.22,2.81,Negativno,Ne
321,18.485881,77.40058,8.8,-88.5,7.37,3.18,Negativno,Ne
322,18.471576,77.38554,8.3,-20.9,7.76,4.65,Negativno,Ne
323,18.465888,77.403001,9.7,-60.8,6.56,2.54,Negativno,Ne
324,18.506563,77.38413,13.5,-63.4,8.03,5.96,Negativno,Ne
325,18.454754,77.378842,9.1,-60.8,7.48,0.29,Negativno,Ne
326,18.484317,77.389514,2.1,-50.8,6.91,1.45,Negativno,Ne
327,18.479421,77.390593,1.2,-60.4,6.34,0.6,Negativno,Ne
328,18.465902,77.383525,4.3,-44.7,7.77,1.54,Negativno,Ne
329,18.486797,77.403402,13.1,-31.3,7.67,4.78,Negativno,Ne
330,18.492354,77.404093,6.3,-48.4,7.29,1.01,Negativno,Ne
331,18.485562,77.38643,1.3,-50.2,7.2,1.29,Negativno,Ne
332,18.477636,77.400086,7.1,-30.1,6.75,1.18,Negativno,Ne
333,18.4914,77.401159,13.4,-76.1,6.39,5.32,Negativno,Ne
334,18.46843,77.391792,7.8,-55.0,7.05,1.38,Negativno,Ne
335,18.478751,77.40159,14.7,-61.6,7.8,1.36,Negativno,Ne
336,18.483387,77.389823,0.8,-61.5,6.25,4.77,Negativno,Ne
337,18.472491,77.399552,1.7,-58.1,7.33,5.7,Negativno,Ne
338,18.474173,77.38332,13.5,-37.8,6.48,2.31,Negativno,Ne
339,18.472237,77.396994,4.6,-29.4,6.85,2.34,Negativno,Ne
340,18.491808,77.36998,3.1,-53.9,7.32,0.75,Negativno,Ne
341,18.490904,77.377298,14.2,-63.6,6.62,5.19,Negativno,Ne
342,18.472594,77.397097,1.5,-50.6,6.04,5.15,Negativno,Ne
343,18.473735,77.387288,5.9,-75.0,7.07,1.64,Negativno,Ne
344,18.457112,77.382437,3.7,-54.1,7.22,1.71,Negativno,Ne
345,18.481643,77.387468,12.6,-55.6,7.33,0.81,Pozitivno,Ne
346,18.477644,77.384326,12.5,-43.8,7.07,4.37,Negativno,Ne
347,18.478218,77.400216,0.9,-58.7,7.25,2.26,Negativno,Ne
348,18.473983,77.379717,2.0,-37.2,6.67,4.23,Negativno,Ne
349,18.468384,77.390242,5.4,-48.3,7.31,4.67,Negativno,Ne
350,18.484332,77.374599,9.8,-27.5,6.39,4.34,Negativno,Ne
351,18.477931,77.377008,8.5,-50.0,6.02,5.74,Negativno,Ne
352,18.4908,77.395151,0.5,-51.3,7.73,4.88,Negativno,Ne
353,18.484539,77.395399,13.4,-47.9,7.0,2.27,Negativno,Ne
354,18.485753,77.383889,5.0,-6.1,7.75,8.970616188900902,Pozitivno,Da
355,18.472898,77.394622,6.1,-42.4,6.6,1.01,Negativno,Ne
356,18.491067,77.375518,1.4,-30.0,6.38,1.7,Negativno,Ne
357,18.482507,77.387141,11.4,-40.2,6.64,2.69,Negativno,Ne
358,18.474685,77.404735,7.7,-71.6,8.39,1.38,Negativno,Ne
359,18.485859,77.384143,10.1,-10.9,6.97,9.920616188900905,Pozitivno,Da
360,18.486507,77.403641,7.4,-88.3,6.7,3.16,Negativno,Ne
361,18.466718,77.379611,6.6,-61.1,7.69,3.61,Negativno,Ne
362,18.483293,77.377285,1.4,-71.2,7.67,5.11,Negativno,Ne
363,18.495342,77.382295,7.2,-44.5,6.8,0.38,Negativno,Ne
